planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
7 CMa b,7 CMa,radial velocity,2011,735.1,13.4,,4826.0,4.87,1.34,,1.1954679275582123,inner,,False,True,True
7 CMa c,7 CMa,radial velocity,2019,996.0,13.9,,4826.0,4.87,1.34,,1.2400749397805335,inner,,False,True,True
70 Vir b,70 Vir,radial velocity,1996,116.688,12.6,2380.45,5495.0,1.89,1.09,7.489742879796619,1.124096708002498,inner,0.0,True,True,True
75 Cet b,75 Cet,radial velocity,2012,696.62,13.3,,4809.0,10.38,1.92,,1.186546525113748,inner,,False,True,True
75 Cet c,75 Cet,radial velocity,2023,2051.62,13.9,,4809.0,10.38,1.92,,1.2400749397805335,inner,,False,True,True
8 UMi b,8 UMi,radial velocity,2015,93.4,13.6,,4847.0,10.3,1.44,,1.2133107324471406,inner,,False,True,True
81 Cet b,81 Cet,radial velocity,2008,1005.57,13.1,,4734.0,11.21,1.23,,1.1687037202248194,inner,,False,True,True
91 Aqr b,91 Aqr,radial velocity,2013,181.4,13.1,,4665.0,11.0,1.4,,1.1687037202248194,inner,,False,True,True
AB Aur b,AB Aur,imaging,2022,,12.5,2860.455663,9770.0,2.95887,2.4,9.000011525101629,1.1151753055580338,unknown,0.0,True,True,True
AB Pic b,AB Pic,imaging,2005,,12.3,4290.5,5285.0,0.999394,0.9,13.499439948651473,1.0973325006691053,unknown,0.0,True,True,True
AF Lep b,AF Lep,imaging,2023,8030.0,13.1,1017.0509024,6130.0,1.25,1.2,3.2000040978139124,1.1687037202248194,outer,0.0,True,True,True
AT2021ueyL b,AT2021ueyL,microlensing,2025,4168.69,13.6,425.89006538,3680.0,,0.49,1.3400017159595758,1.2133107324471406,unknown,0.0,True,True,False
AU Mic b,AU Mic,transit,2020,8.46308,3.95677019,20.12,3678.0,0.744,0.51,0.06330468051902288,0.3529993924524935,inner,0.0,True,True,True
AU Mic c,AU Mic,transit,2021,18.85969,2.52202066,9.6,3678.0,0.744,0.51,0.030205016549831987,0.2249996128111339,inner,0.0,True,True,True
